화면영역(UI 계층),노출 우선순위,데이터 속성(Backend 구조),대분류(Category),DB 컬럼(필드)명,데이터 타입,단일/비교(UW) 구조,설명 및 화면 맵핑 예제
Section 1(최상단/Hero),기본 노출(Default),① Static 프로필,1. 식별정보,missionId (프로젝트명),String,단일 구조,더케이트윈타워 매입 프로젝트 (최상단 대형 타이틀)
Section 1(최상단/Hero),기본 노출(Default),① Static 프로필,1. 식별정보,assetName (자산명),String,단일 구조,The-K 트윈타워
Section 1(최상단/Hero),기본 노출(Default),① Static 프로필,2. 자산특성,assetClass (용도),Enum,단일 구조,오피스/리테일
Section 1(최상단/Hero),기본 노출(Default),① Static 프로필,2. 자산특성,grossArea (연면적),Number,단일 구조,25000평
Section 1(최상단/Hero),기본 노출(Default),① Static 프로필,4. 조직망,director (총괄임원),String,단일 구조,정영진
Section 1(최상단/Hero),기본 노출(Default),① Static 프로필,4. 조직망,pm (실무담당),String,단일 구조,장민호
Tab 1(Asset Overview),탭 뷰(General),① Static 프로필,1. 비히클 정보,vehicle_type / name,Enum/String,단일 구조,이지스전문투자형사모부동산 389호
Tab 1(Asset Overview),탭 뷰(General),③ Context 텍스트,2. 공간 설계,stackingPlan,Text,단일 구조,B1~3F 리테일 MD, 4~20F 오피스 균등분할
Tab 1(Asset Overview),탭 뷰(General),③ Context 텍스트,3. 테넌트 타게팅,anchorTenants,Array,단일 구조,마이크로소프트, 카카오, LG 화학
Tab 1(Asset Overview),탭 뷰(General),② Dynamic 지표,4. 조직 리소스,totalFTE,Float,Pair (UW vs Actual),Target: 5명 | Actual: 7.5명 투입
Tab 1(Asset Overview),탭 뷰(General),③ Context 텍스트,5. 리스크 & 준법,redFlags,Object,단일 구조,[Green] 조기 초과 달성 중 (위기 대응 로그 표시)
Tab 1(Asset Overview),탭 뷰(General),③ Context 텍스트,6. 외부 파트너,partnerships,Object,단일 구조,현대건설 / 에퀴닉스 옵코 등
Tab 2(Execution vs Plan),C-Level 트래킹 뷰,② Dynamic 지표,1. 스케일,financials.aum,Number,Pair (UW vs Actual),UW: 9500억 | Actual: 9850억 (좌우 대비 레이아웃)
Tab 2(Execution vs Plan),C-Level 트래킹 뷰,② Dynamic 지표,2. 평당 임대료,financials.rentRate,Number,Pair (UW vs Actual),UW: 14.5만원 | Actual: 20만원 이상
Tab 2(Execution vs Plan),C-Level 트래킹 뷰,② Dynamic 지표,3. 안정화 임대율,operations.occupancyRate,Float,Pair (UW vs Actual),UW: 90% | Actual: 99% 이상
Tab 2(Execution vs Plan),C-Level 트래킹 뷰,② Dynamic 지표,4. 안정화 기간,operations.stabilizationPeriod,String,Pair (UW vs Actual),UW: 2년 소요 | Actual: 운영개시 전 완료
Tab 2(Execution vs Plan),C-Level 트래킹 뷰,② Dynamic 지표,5. 매각 시점,operations.exitTiming,String,Pair (UW vs Actual),UW: 3년 운영 후 | Actual: 6개월 내 조기 달성
Tab 2(Execution vs Plan),C-Level 트래킹 뷰,② Dynamic 지표,6. 매각가,financials.exitPrice,Number,Pair (UW vs Actual),UW: 5768억 | Actual: 8450억
Tab 2(Execution vs Plan),C-Level 트래킹 뷰,② Dynamic 지표,7. 내부수익률,financials.irr,Float,Pair (UW vs Actual),UW: 29.66% | Actual: 122.11%
Tab 2(Execution vs Plan),C-Level 타임라인,② Dynamic 지표,8. 착공 노드,timeSeries.constructionStart,Date,Pair (UW vs Actual),간트/라인 차트의 시작점 맵핑
Tab 2(Execution vs Plan),C-Level 타임라인,② Dynamic 지표,9. 사전임대 노드,timeSeries.preLeasing,Date,Pair (UW vs Actual),Actual에서만 조기 발생 (UW는 NULL)
Tab 2(Execution vs Plan),C-Level 타임라인,② Dynamic 지표,10. 매각/엑시트 노드,timeSeries.exitDate,Date,Pair (UW vs Actual),UW와 Actual 점선의 이격(Gap) 차트 시각화 구현
